Date,Open,High,Low,Close,Adj Close,Volume
2022-02-17,32351.041016,32490.210938,29558.253906,29775.089844,29775.089844,19278121343
2022-02-18,29785.460938,30038.355469,29201.468750,29447.105469,29447.105469,17147028147
2022-02-19,29443.462891,29732.451172,29213.244141,29514.177734,29514.177734,10104721856
2022-02-20,29511.195313,29512.511719,28036.091797,28276.232422,28276.232422,13494244190
2022-02-21,28270.222656,28916.500000,27169.462891,27271.017578,27271.017578,21537434521
2022-02-22,27266.230469,28226.638672,26857.751953,28175.376953,28175.376953,18760868293
2022-02-23,28174.828125,28781.054688,27469.894531,27535.238281,27535.238281,16130690539
2022-02-24,27521.945313,29088.642578,25537.347656,28667.158203,28667.158203,34688265546
2022-02-25,28668.007813,29592.675781,28479.082031,29247.964844,29247.964844,19799061678
2022-02-26,29247.117188,29838.029297,28866.324219,29166.613281,29166.613281,13028192715
2022-02-27,29161.802734,29669.164063,27948.230469,28200.281250,28200.281250,17536568231
2022-02-28,28197.453125,32618.826172,28061.861328,32180.730469,32180.730469,26590523798
2022-03-01,32181.675781,33406.484375,32029.054688,33260.210938,33260.210938,24355063457
2022-03-02,33262.445313,33790.691406,32596.833984,32787.464844,32787.464844,21783938704
2022-03-03,32788.269531,32892.261719,31408.816406,31797.791016,31797.791016,18701693099
2022-03-04,31802.548828,31829.677734,29318.402344,29588.068359,29588.068359,21558329715
2022-03-05,29596.267578,29912.189453,29315.478516,29786.880859,29786.880859,12833810568
2022-03-06,29789.613281,29968.013672,28888.044922,29080.162109,29080.162109,14945204003
2022-03-07,29087.216797,30041.337891,28431.285156,29024.666016,29024.666016,21768204282
2022-03-08,29023.037109,29913.314453,28951.238281,29573.541016,29573.541016,19678849113
2022-03-09,29577.777344,32275.312500,29545.058594,31841.656250,31841.656250,24485665609
2022-03-10,31834.939453,31895.576172,29479.134766,30099.023438,30099.023438,23719058690
2022-03-11,30100.939453,30564.605469,29292.875000,29775.296875,29775.296875,20235158892
2022-03-12,29774.906250,30148.083984,29736.945313,29837.783203,29837.783203,11210218380
2022-03-13,29822.990234,30071.964844,28932.054688,29004.460938,29004.460938,13257682236
2022-03-14,29001.896484,30549.185547,28892.457031,30490.009766,30490.009766,18695324858
2022-03-15,30488.083984,30504.812500,29396.958984,30157.939453,30157.939453,18348307679
2022-03-16,30155.472656,31764.609375,29896.580078,31310.324219,31310.324219,30148275138
2022-03-17,31307.976563,31379.929688,30875.033203,31121.492188,31121.492188,16726460466
2022-03-18,31116.523438,32003.320313,30693.017578,31713.199219,31713.199219,26114539831
2022-03-19,31708.261719,32104.214844,31562.613281,32008.699219,32008.699219,14919094838
2022-03-20,32009.269531,32047.019531,31108.998047,31344.302734,31344.302734,15295266940
2022-03-21,31343.019531,31460.664063,30897.138672,31192.414063,31192.414063,18691714320
2022-03-22,31189.457031,32847.011719,31133.714844,31930.027344,31930.027344,24125074956
2022-03-23,31934.226563,32481.236328,31533.974609,32480.820313,32480.820313,19115294368
2022-03-24,32476.046875,33486.457031,32391.386719,33318.210938,33318.210938,23527639073
2022-03-25,33320.949219,34117.175781,33171.015625,33622.992188,33622.992188,23179991242
2022-03-26,33623.843750,33915.296875,33484.660156,33737.011719,33737.011719,12850496649
2022-03-27,33740.445313,35554.796875,33688.843750,35542.417969,35542.417969,21377522767
2022-03-28,35543.449219,36750.171875,35453.691406,35977.187500,35977.187500,27758630397
